word,answer,text_en,text_zh,text_zh_tw,text_ja
museum,museum,We saw old paintings at the city {{}}.,我们在城市博物馆看了古老的画作。,我們在城市博物館看了古老的畫作。,私たちは市の博物館で古い絵を見た。
neck,neck,She wore a silver chain around her {{}}.,她脖子上戴着一条银链子。,她脖子上戴著一條銀鏈子。,彼女は首に銀の鎖をつけていた。
neighbor,neighbor,My kind {{}} helped me carry the boxes.,我善良的邻居帮我搬箱子。,我善良的鄰居幫我搬箱子。,親切な隣人が箱を運ぶのを手伝ってくれた。
new,new,She bought a {{}} bag for school.,她买了一个新书包上学用。,她買了一個新書包上學用。,彼女は学校用に新しいかばんを買った。
noodle,noodle,He ate a bowl of hot {{}} soup.,他吃了一碗热面汤。,他吃了一碗熱麵湯。,彼は温かい麺のスープを一杯食べた。
noon,noon,We usually have lunch at {{}}.,我们通常在中午吃午饭。,我們通常在中午吃午飯。,私たちはたいてい正午に昼食をとる。
nose,nose,The cold wind made her {{}} red.,冷风把她的鼻子吹红了。,冷風把她的鼻子吹紅了。,冷たい風で彼女の鼻は赤くなった。
notebook,notebook,He wrote the new words in his {{}}.,他把生词写在笔记本上。,他把生詞寫在筆記本上。,彼は新しい単語をノートに書いた。
nurse,nurse,The kind {{}} took care of the sick child.,善良的护士照顾生病的孩子。,善良的護士照顧生病的孩子。,優しい看護師は病気の子供の世話をした。
ocean,ocean,The deep blue {{}} looks calm today.,深蓝的海洋今天看起来很平静。,深藍的海洋今天看起來很平靜。,深い青の海は今日穏やかに見える。
office,office,She works in a busy city {{}}.,她在繁忙的城市办公室工作。,她在繁忙的城市辦公室工作。,彼女は忙しい都会のオフィスで働いている。
old,old,They live in a very {{}} stone house.,他们住在一栋很古老的石屋里。,他們住在一棟很古老的石屋裡。,彼らはとても古い石の家に住んでいる。
open,open,Please {{}} the box slowly and carefully.,请慢慢小心地打开盒子。,請慢慢小心地打開盒子。,箱をゆっくり注意して開けてください。
orange,orange,She peeled a sweet {{}} for the child.,她为孩子剥了一个甜橙子。,她為孩子剝了一個甜橙子。,彼女は子供のために甘いオレンジをむいた。
paint,paint,He likes to {{}} pictures of the sea.,他喜欢画海的图画。,他喜歡畫海的圖畫。,彼は海の絵を描くのが好きだ。
pan,pan,She fried the eggs in a hot {{}}.,她在热锅里煎鸡蛋。,她在熱鍋裡煎雞蛋。,彼女は熱いフライパンで卵を焼いた。
paper,paper,He wrote his name on the white {{}}.,他把名字写在白纸上。,他把名字寫在白紙上。,彼は白い紙に名前を書いた。
park,park,The children play in the {{}} every afternoon.,孩子们每天下午在公园玩。,孩子們每天下午在公園玩。,子供たちは毎日午後に公園で遊ぶ。
party,party,We had a fun birthday {{}} last night.,昨晚我们开了一个有趣的生日派对。,昨晚我們開了一個有趣的生日派對。,昨夜私たちは楽しい誕生日パーティーをした。
peach,peach,She bit into a soft sweet {{}}.,她咬了一口柔软香甜的桃子。,她咬了一口柔軟香甜的桃子。,彼女は柔らかく甘い桃を一口かじった。
pen,pen,He signed the card with a blue {{}}.,他用蓝色的笔在卡片上签名。,他用藍色的筆在卡片上簽名。,彼は青いペンでカードにサインした。
pencil,pencil,She drew a house with a yellow {{}}.,她用黄色铅笔画了一栋房子。,她用黃色鉛筆畫了一棟房子。,彼女は黄色い鉛筆で家を描いた。
pepper,pepper,He added a little salt and {{}} to the soup.,他在汤里加了一点盐和胡椒。,他在湯裡加了一點鹽和胡椒。,彼はスープに少し塩とこしょうを加えた。
phone,phone,She talked on the {{}} for an hour.,她打电话讲了一个小时。,她打電話講了一個小時。,彼女は一時間電話で話した。
photo,photo,He took a {{}} of the beautiful sunset.,他拍了一张美丽日落的照片。,他拍了一張美麗日落的照片。,彼は美しい夕日の写真を撮った。
pig,pig,The little {{}} rolled in the soft mud.,那只小猪在软泥里打滚。,那隻小豬在軟泥裡打滾。,小さな豚が柔らかい泥の中で転がった。
pink,pink,She painted her room a soft {{}}.,她把房间刷成柔和的粉红色。,她把房間刷成柔和的粉紅色。,彼女は部屋を柔らかいピンクに塗った。
plane,plane,The {{}} landed safely at the airport.,飞机安全降落在机场。,飛機安全降落在機場。,飛行機は空港に無事着陸した。
plate,plate,She placed the warm food on a clean {{}}.,她把热食物放在干净的盘子上。,她把熱食物放在乾淨的盤子上。,彼女は温かい料理をきれいな皿にのせた。
pocket,pocket,He kept the coin in his coat {{}}.,他把硬币放在外套口袋里。,他把硬幣放在外套口袋裡。,彼は硬貨をコートのポケットに入れておいた。
poor,poor,The {{}} old man had no warm coat.,那个可怜的老人没有暖和的外套。,那個可憐的老人沒有暖和的外套。,その貧しい老人は暖かいコートを持っていなかった。
pot,pot,She boiled the soup in a big {{}}.,她用一个大锅煮汤。,她用一個大鍋煮湯。,彼女は大きな鍋でスープを煮た。
pour,pour,Please {{}} some water into the glass.,请往杯子里倒一些水。,請往杯子裡倒一些水。,グラスに水を少し注いでください。
price,price,The {{}} of the new phone is very high.,那款新手机的价格很高。,那款新手機的價格很高。,その新しい携帯の値段はとても高い。
pull,pull,They tried to {{}} the heavy cart together.,他们试着一起拉那辆沉重的车。,他們試著一起拉那輛沉重的車。,彼らは重い荷車を一緒に引こうとした。
purple,purple,She wore a {{}} scarf in the winter.,她冬天围了一条紫色围巾。,她冬天圍了一條紫色圍巾。,彼女は冬に紫のマフラーを巻いた。
push,push,Please {{}} the door gently to open it.,请轻轻推门把它打开。,請輕輕推門把它打開。,ドアをそっと押して開けてください。
quiet,quiet,The library is always very {{}}.,图书馆总是非常安静。,圖書館總是非常安靜。,図書館はいつもとても静かだ。
rabbit,rabbit,A white {{}} hopped across the garden.,一只白兔跳过花园。,一隻白兔跳過花園。,白いうさぎが庭を跳ねて横切った。
radio,radio,He listens to the {{}} while cooking.,他一边做饭一边听收音机。,他一邊做飯一邊聽收音機。,彼は料理をしながらラジオを聴く。
rain,rain,The heavy {{}} kept us inside all day.,大雨让我们整天待在室内。,大雨讓我們整天待在室內。,大雨のせいで一日中家の中にいた。
read,read,She likes to {{}} a book before sleeping.,她喜欢睡前读一本书。,她喜歡睡前讀一本書。,彼女は寝る前に本を読むのが好きだ。
red,red,He bought a bright {{}} umbrella.,他买了一把鲜红的雨伞。,他買了一把鮮紅的雨傘。,彼は鮮やかな赤い傘を買った。
rice,rice,We eat {{}} with almost every meal.,我们几乎每餐都吃米饭。,我們幾乎每餐都吃米飯。,私たちはほとんど毎食ご飯を食べる。
rich,rich,The {{}} man gave money to the school.,那位富人捐钱给学校。,那位富人捐錢給學校。,その裕福な人は学校にお金を寄付した。
ride,ride,He likes to {{}} his bike after school.,他喜欢放学后骑自行车。,他喜歡放學後騎腳踏車。,彼は放課後に自転車に乗るのが好きだ。
ring,ring,She wears a gold {{}} on her finger.,她手指上戴着一枚金戒指。,她手指上戴著一枚金戒指。,彼女は指に金の指輪をはめている。
road,road,The long {{}} leads to the small village.,那条长路通往小村庄。,那條長路通往小村莊。,その長い道は小さな村へ続いている。
roof,roof,The rain fell loudly on the {{}}.,雨水大声地打在屋顶上。,雨水大聲地打在屋頂上。,雨が屋根に大きな音を立てて降った。
room,room,His {{}} is bright and always tidy.,他的房间明亮又总是整洁。,他的房間明亮又總是整潔。,彼の部屋は明るくいつも片づいている。
root,root,The old tree has very deep {{}}.,那棵老树的根很深。,那棵老樹的根很深。,その古い木はとても深い根を持っている。
ruler,ruler,He drew a straight line with a {{}}.,他用尺画了一条直线。,他用尺畫了一條直線。,彼は定規でまっすぐな線を引いた。
run,run,They {{}} in the park every morning.,他们每天早上在公园跑步。,他們每天早上在公園跑步。,彼らは毎朝公園で走る。
sad,sad,She felt {{}} when her friend moved away.,朋友搬走时她感到难过。,朋友搬走時她感到難過。,友達が引っ越して彼女は悲しかった。
salad,salad,She made a fresh green {{}} for lunch.,她午餐做了一份新鲜的青菜沙拉。,她午餐做了一份新鮮的青菜沙拉。,彼女は昼食に新鮮なグリーンサラダを作った。
salt,salt,Please add a little {{}} to the soup.,请往汤里加一点盐。,請往湯裡加一點鹽。,スープに少し塩を加えてください。
scarf,scarf,She wrapped a warm {{}} around her neck.,她在脖子上围了一条暖和的围巾。,她在脖子上圍了一條暖和的圍巾。,彼女は首に暖かいマフラーを巻いた。
sea,sea,The blue {{}} was calm and quiet.,蓝色的大海平静而安宁。,藍色的大海平靜而安寧。,青い海は穏やかで静かだった。
seed,seed,She planted a small {{}} in the garden.,她在花园里种了一颗小种子。,她在花園裡種了一顆小種子。,彼女は庭に小さな種を植えた。
sheep,sheep,The white {{}} eat grass on the hill.,白羊在山坡上吃草。,白羊在山坡上吃草。,白い羊が丘で草を食べている。
shelf,shelf,He placed the book on the top {{}}.,他把书放在最上面的架子上。,他把書放在最上面的架子上。,彼は本を一番上の棚に置いた。
ship,ship,The big {{}} sailed slowly across the sea.,那艘大船缓缓驶过大海。,那艘大船緩緩駛過大海。,大きな船がゆっくり海を渡った。
shirt,shirt,He wore a clean white {{}} to work.,他穿了一件干净的白衬衫上班。,他穿了一件乾淨的白襯衫上班。,彼はきれいな白いシャツを着て仕事に行った。
shoe,shoe,She tied her left {{}} before running.,她跑步前系好了左脚的鞋。,她跑步前繫好了左腳的鞋。,彼女は走る前に左の靴のひもを結んだ。
shop,shop,They bought fresh bread at the corner {{}}.,他们在街角的商店买了新鲜面包。,他們在街角的商店買了新鮮麵包。,彼らは角の店で焼きたてのパンを買った。
short,short,The film was quite {{}} and fun.,那部电影相当短又有趣。,那部電影相當短又有趣。,その映画はかなり短くて楽しかった。
sing,sing,The children love to {{}} together in class.,孩子们喜欢在课堂上一起唱歌。,孩子們喜歡在課堂上一起唱歌。,子供たちは授業でみんなで歌うのが好きだ。
singer,singer,The famous {{}} has a beautiful voice.,那位著名的歌手嗓音优美。,那位著名的歌手嗓音優美。,その有名な歌手は美しい声をしている。
sister,sister,My older {{}} teaches at a small school.,我姐姐在一所小学校教书。,我姐姐在一所小學校教書。,私の姉は小さな学校で教えている。
skirt,skirt,She wore a long blue {{}} to the party.,她穿了一条蓝色长裙去派对。,她穿了一條藍色長裙去派對。,彼女は青い長いスカートでパーティーに行った。
sky,sky,The {{}} turned pink at sunset.,日落时天空变成粉红色。,日落時天空變成粉紅色。,夕暮れに空はピンク色になった。
sleep,sleep,Babies need a lot of {{}} to grow.,婴儿需要充足的睡眠才能成长。,嬰兒需要充足的睡眠才能成長。,赤ちゃんは育つのにたくさんの睡眠が必要だ。
slow,slow,The old train is very {{}}.,那列旧火车非常慢。,那列舊火車非常慢。,その古い電車はとても遅い。
small,small,They live in a {{}} house by the river.,他们住在河边一栋小房子里。,他們住在河邊一棟小房子裡。,彼らは川のそばの小さな家に住んでいる。
snake,snake,A long green {{}} moved through the grass.,一条绿色的长蛇在草丛中游动。,一條綠色的長蛇在草叢中游動。,長い緑の蛇が草の中を進んだ。
snow,snow,White {{}} covered the whole town last night.,昨晚白雪覆盖了整个小镇。,昨晚白雪覆蓋了整個小鎮。,昨夜白い雪が町全体を覆った。
sock,sock,He could not find his other {{}}.,他找不到另一只袜子。,他找不到另一隻襪子。,彼はもう片方の靴下が見つからなかった。
sofa,sofa,They sat on the soft {{}} to watch a film.,他们坐在柔软的沙发上看电影。,他們坐在柔軟的沙發上看電影。,彼らは柔らかいソファに座って映画を見た。
soft,soft,The baby slept on a {{}} warm blanket.,宝宝睡在柔软温暖的毯子上。,寶寶睡在柔軟溫暖的毯子上。,赤ちゃんは柔らかく暖かい毛布の上で眠った。
song,song,She sang a happy {{}} on the way home.,她在回家的路上唱着一首快乐的歌。,她在回家的路上唱著一首快樂的歌。,彼女は家に帰る道で楽しい歌を歌った。
soup,soup,He had a warm bowl of {{}} for dinner.,他晚餐喝了一碗温热的汤。,他晚餐喝了一碗溫熱的湯。,彼は夕食に温かいスープを一杯飲んだ。
spoon,spoon,She ate the soup with a small {{}}.,她用一把小勺子喝汤。,她用一把小湯匙喝湯。,彼女は小さなスプーンでスープを飲んだ。
stair,stair,He walked up the {{}} to the top floor.,他走上楼梯到了顶楼。,他走上樓梯到了頂樓。,彼は階段を上って最上階へ行った。
star,star,A bright {{}} appeared in the night sky.,一颗明亮的星星出现在夜空中。,一顆明亮的星星出現在夜空中。,明るい星が夜空に現れた。
station,station,We waited for the train at the {{}}.,我们在车站等火车。,我們在車站等火車。,私たちは駅で電車を待った。
store,store,She bought some milk at the small {{}}.,她在小商店买了一些牛奶。,她在小商店買了一些牛奶。,彼女は小さな店で牛乳を買った。
storm,storm,The strong {{}} broke many tree branches.,强烈的暴风雨折断了许多树枝。,強烈的暴風雨折斷了許多樹枝。,激しい嵐が多くの木の枝を折った。
story,story,She read a bedtime {{}} to her child.,她给孩子读了一个睡前故事。,她給孩子讀了一個睡前故事。,彼女は子供に寝る前の物語を読んだ。
street,street,Cars move slowly along the busy {{}}.,车辆在繁忙的街道上缓慢行驶。,車輛在繁忙的街道上緩慢行駛。,車が混んだ通りをゆっくり進む。
strong,strong,The {{}} man carried the heavy box easily.,那个强壮的男人轻松地搬起了重箱子。,那個強壯的男人輕鬆地搬起了重箱子。,その力強い男は重い箱を楽々と運んだ。
sugar,sugar,She added two spoons of {{}} to her tea.,她在茶里加了两勺糖。,她在茶裡加了兩勺糖。,彼女はお茶に砂糖を二さじ入れた。
sun,sun,The {{}} rose slowly over the mountains.,太阳缓缓从群山后升起。,太陽緩緩從群山後升起。,太陽が山の上にゆっくり昇った。
swim,swim,They like to {{}} in the lake in summer.,他们喜欢夏天在湖里游泳。,他們喜歡夏天在湖裡游泳。,彼らは夏に湖で泳ぐのが好きだ。
table,table,We ate dinner around the big wooden {{}}.,我们围着大木桌吃晚饭。,我們圍著大木桌吃晚飯。,私たちは大きな木のテーブルを囲んで夕食を食べた。
tall,tall,That {{}} tree gives a lot of shade.,那棵高树遮出很多阴凉。,那棵高樹遮出很多陰涼。,その高い木はたくさんの日陰を作る。
tea,tea,She drinks a cup of hot {{}} every morning.,她每天早上喝一杯热茶。,她每天早上喝一杯熱茶。,彼女は毎朝温かいお茶を一杯飲む。
thirsty,thirsty,After the long walk they were very {{}}.,走了很远之后他们非常口渴。,走了很遠之後他們非常口渴。,長い散歩のあと彼らはとても喉が渇いていた。
throw,throw,Please {{}} the ball to your brother.,请把球扔给你弟弟。,請把球扔給你弟弟。,ボールを弟に投げてください。
tiger,tiger,The {{}} is a large and powerful animal.,老虎是一种巨大而有力的动物。,老虎是一種巨大而有力的動物。,トラは大きくて力の強い動物だ。
tired,tired,She felt very {{}} after the long day.,漫长的一天之后她感到很累。,漫長的一天之後她感到很累。,長い一日のあと彼女はとても疲れていた。
today,today,We are going to the beach {{}}.,我们今天要去海滩。,我們今天要去海灘。,私たちは今日ビーチへ行く。
tooth,tooth,The child lost a small {{}} last night.,那孩子昨晚掉了一颗小牙。,那孩子昨晚掉了一顆小牙。,その子は昨夜小さな歯が一本抜けた。
town,town,They live in a small quiet {{}}.,他们住在一个安静的小镇。,他們住在一個安靜的小鎮。,彼らは静かな小さな町に住んでいる。
toy,toy,The child played with a new {{}} all day.,那孩子整天都在玩一个新玩具。,那孩子整天都在玩一個新玩具。,その子は一日中新しいおもちゃで遊んだ。
train,train,They took the fast {{}} to the city.,他们坐快车去了城市。,他們坐快車去了城市。,彼らは速い電車で街へ行った。
tree,tree,A tall {{}} grows in front of the house.,一棵高树长在房子前面。,一棵高樹長在房子前面。,高い木が家の前に生えている。
truck,truck,The heavy {{}} carried boxes to the shop.,那辆重卡车把箱子运到商店。,那輛重卡車把箱子運到商店。,重いトラックが箱を店まで運んだ。
village,village,A small quiet {{}} lies near the river.,一个安静的小村庄坐落在河边。,一個安靜的小村莊坐落在河邊。,静かな小さな村が川の近くにある。
wake,wake,I usually {{}} up at six in the morning.,我通常早上六点起床。,我通常早上六點起床。,私はたいてい朝六時に起きる。
walk,walk,They like to {{}} in the park after dinner.,他们喜欢晚饭后在公园散步。,他們喜歡晚飯後在公園散步。,彼らは夕食後に公園を散歩するのが好きだ。
wall,wall,He hung a picture on the white {{}}.,他在白墙上挂了一幅画。,他在白牆上掛了一幅畫。,彼は白い壁に絵をかけた。
warm,warm,The soup is still {{}} and tastes good.,汤还很温热味道很好。,湯還很溫熱味道很好。,スープはまだ温かくて美味しい。
wash,wash,Please {{}} your hands before dinner.,晚饭前请洗手。,晚飯前請洗手。,夕食の前に手を洗ってください。
watch,watch,He looked at his {{}} to check the time.,他看了看手表确认时间。,他看了看手錶確認時間。,彼は時間を確かめようと腕時計を見た。
weak,weak,The sick child felt very {{}}.,生病的孩子感到非常虚弱。,生病的孩子感到非常虛弱。,病気の子供はとても弱っていた。
week,week,We will visit our friends next {{}}.,我们下周会去拜访朋友。,我們下週會去拜訪朋友。,私たちは来週友達を訪ねる。
wet,wet,Her shoes got {{}} in the heavy rain.,她的鞋子在大雨中淋湿了。,她的鞋子在大雨中淋濕了。,彼女の靴は大雨で濡れた。
white,white,The mountain was covered with {{}} snow.,那座山覆盖着白雪。,那座山覆蓋著白雪。,その山は白い雪で覆われていた。
wind,wind,The cold {{}} blew all through the night.,寒风吹了一整夜。,寒風吹了一整夜。,冷たい風が一晩中吹いた。
wine,wine,They shared a glass of red {{}} at dinner.,他们晚餐时分享了一杯红酒。,他們晚餐時分享了一杯紅酒。,彼らは夕食で赤ワインを一杯分け合った。
write,write,She likes to {{}} letters to her friends.,她喜欢给朋友写信。,她喜歡給朋友寫信。,彼女は友達に手紙を書くのが好きだ。
writer,writer,The famous {{}} published a new book.,那位著名的作家出版了一本新书。,那位著名的作家出版了一本新書。,その有名な作家は新しい本を出した。
year,year,We are moving to a new city next {{}}.,我们明年要搬到一个新城市。,我們明年要搬到一個新城市。,私たちは来年新しい街へ引っ越す。
yellow,yellow,The bright {{}} flowers filled the garden.,鲜艳的黄花开满了花园。,鮮豔的黃花開滿了花園。,鮮やかな黄色い花が庭を埋め尽くした。
young,young,The {{}} boy learns very quickly.,那个年轻的男孩学得很快。,那個年輕的男孩學得很快。,その若い男の子はとても早く学ぶ。
